rank	frequency	word	pinyin	traditional	hanviet
1.0	66293.28	，	，	，	
8.0	6545.81	：	：	：	
18.0	3849.91	？	？	？	
24.0	3080.78	！	！	！	
31.0	2165.51	…	…	…	
38.0	1997.12	）	）	）	
40.0	1961.02	（	（	（	
46.0	1763.04	大	dà	大	đại, thái
58.0	1546.09	》	》	》	
59.0	1545.71	《	《	《	
72.0	1305.34	小	xiǎo	小	tiểu
74.0	1245.72	；	；	；	
77.0	1180.85	之	zhī	之	chi
78.0	1171.14	・	・	・	
92.0	988.96	#	#	#	
99.0	865.97	~	~	~	
128.0	649.14	元	yuán	元	nguyên
137.0	617.89	|	|	|	
145.0	589.0	儿	ér	兒	nhi, nghê, nhân
157.0	535.8	～	～	～	
162.0	520.94	_	_	_	
170.0	499.67	高	gāo	高	cao
176.0	489.49	位	wèi	位	vị
191.0	466.75	成	chéng	成	thành
196.0	458.67	条	tiáo	條	điều, thiêu, điêu
200.0	444.0	如	rú	如	như
201.0	442.15		nan	nan	
44644.0	0.77		nan	nan	
218.0	409.13	．	．	．	
229.0	390.5	起	qǐ	起	khởi
235.0	385.66	分	fēn	分	phận, phân
241.0	372.82	开	kāi	開	khai
252.0	356.55	老	lǎo	老	lão
258.0	343.78	站	zhàn	站	trạm
260.0	343.42	－	－	－	
266.0	340.73	「	「	「	
268.0	338.93	」	」	」	
271.0	333.44	件	jiàn	件	kiện
279.0	325.33	【	【	【	
283.0	323.57	】	】	】	
284.0	323.44	子	zǐ	子	tử, tý
293.0	311.21	头	tóu	頭	đầu
295.0	310.08	住	zhù	住	trụ
296.0	309.06	学	xué	學	học
299.0	306.06	美	měi	美	mĩ, mỹ
309.0	298.69	阿	ā	阿	a, á
316.0	291.6	块	kuài	塊	khối
321.0	289.56	花	huā	花	hoa
328.0	281.74	楼	lóu	樓	lâu
335.0	276.16	发	fā	發	phát
348.0	264.36	女	nv̌	女	nhữ, nữ, nứ
351.0	263.08	斯	sī	斯	tư
357.0	258.13	段	duàn	段	đoạn
369.0	252.1	首	shǒu	首	thú, thủ
370.0	251.86	’	’	’	
373.0	250.73	同	tóng	衕	đồng
378.0	246.19	第	dì	第	đệ
380.0	245.23	─	─	─	
381.0	245.17	图	tú	圖	đồ
400.0	235.16	象	xiàng	象	tượng
405.0	232.66	间	jiān	間	gian
412.0	228.48	‘	‘	‘	
423.0	222.56	变	biàn	變	biến, biện
441.0	216.59	}	}	}	
450.0	213.96	副	fù	副	phó
454.0	210.36	口	kǒu	口	khẩu
466.0	205.89	{	{	{	
475.0	200.96	红	hóng	紅	hồng
483.0	197.86	自	zì	自	tự
489.0	195.03	xURLx	xURLx	xURLx	
491.0	194.41	篇	piān	篇	thiên
501.0	191.15	部	bù	部	bộ
521.0	183.68	卡	qiǎ	卡	tạp
535.0	178.63	法	fǎ	法	pháp
543.0	175.25	指	zhǐ	指	chỉ
546.0	173.3	达	dá	達	đạt
548.0	173.08	即	jí	即	tức
550.0	172.67	黑	hēi	黑	hắc
561.0	169.9	西	xī	西	tây, tê
563.0	169.56	考	kǎo	考	khảo
568.0	168.79	克	kè	剋	khắc
