no	rank	frequency	word	pinyin	traditional	hanviet
0	1	66293.28	，	，	，	[]
7	8	6545.81	：	：	：	[]
17	18	3849.91	？	？	？	[]
23	24	3080.78	！	！	！	[]
30	31	2165.51	…	…	…	[]
37	38	1997.12	）	）	）	[]
39	40	1961.02	（	（	（	[]
57	58	1546.09	》	》	》	[]
58	59	1545.71	《	《	《	[]
73	74	1245.72	；	；	；	[]
77	78	1171.14	・	・	・	[]
91	92	988.96	#	#	#	[]
98	99	865.97	~	~	~	[]
136	137	617.89	|	|	|	[]
156	157	535.8	～	～	～	[]
161	162	520.94	_	_	_	[]
217	218	409.13	．	．	．	[]
259	260	343.42	－	－	－	[]
265	266	340.73	「	「	「	[]
267	268	338.93	」	」	」	[]
278	279	325.33	【	【	【	[]
282	283	323.57	】	】	】	[]
369	370	251.86	’	’	’	[]
379	380	245.23	─	─	─	[]
411	412	228.48	‘	‘	‘	[]
440	441	216.59	}	}	}	[]
465	466	205.89	{	{	{	[]
950	951	105.06	※	※	※	[]
1005	1006	100.86	│	│	│	[]
1024	1025	99.61	★	★	★	[]
1150	1151	89.36	è	è	è	[]
1173	1174	88.07	→	→	→	[]
1292	1293	79.05	\	\	\	[]
1344	1345	76.04	％	％	％	[]
1574	1575	65.06	／	／	／	[]
1674	1675	61.28	é	é	é	[]
1677	1678	61.21	≈	≈	≈	[]
1732	1733	59.2	◆	◆	◆	[]
1855	1856	55.29	●	●	●	[]
1873	1874	54.43	×	×	×	[]
1901	1902	53.63	├	├	├	[]
1929	1930	52.89	^	^	^	[]
2018	2019	50.82	―	―	―	[]
2061	2062	49.96	『	『	『	[]
2073	2074	49.74	』	』	』	[]
2295	2296	44.74	＝	＝	＝	[]
2356	2357	43.68	☆	☆	☆	[]
2449	2450	41.94	｜	｜	｜	[]
2525	2526	40.56	①	①	①	[]
2619	2620	38.89	■	■	■	[]
2680	2681	37.67	い	い	い	[]
2731	2732	36.87	□	□	□	[]
2793	2794	35.99	［	［	［	[]
2991	2992	33.24	＂	＂	＂	[]
3014	3015	32.82	＊	＊	＊	[]
3047	3048	32.36	¤	¤	¤	[]
3054	3055	32.25	°	°	°	[]
3113	3114	31.54	の	の	の	[]
3115	3116	31.52	$	$	$	[]
