index	chinese_rank	frequency	word	traditional	pinyin	matched	meaning
1	5	1332.15	可以	可以	kěyǐ	khả dĩ	có thể/khả dĩ/có khả năng/có năng lực/cho phép/được phép/tốt/giỏi/hay/lợi hại/ghê hồn/cừ khôi/ghê gớm
2	8	1106.78	中国	中國	zhōngguó	trung quốc	Trung Quốc/Trung Hoa Trung Quốc/China/nước cộng hoà nhân dân Trung Hoa
3	13	916.48	现在	現在	xiànzài	hiện tại	hiện tại/hiện nay/bây giờ
4	16	831.2	时间	時間	shíjiān	thời gian	thời gian/giờ/khoảng thời gian/thời điểm
5	18	775.81	问题	問題	wèntí	vấn đề	vấn đề/câu hỏi/đề hỏi/quan trọng/mấu chốt/chuyện/trở ngại/trắc trở
6	20	734.66	工作	工作	gōngzuò	công tác	công tác/làm việc/việc làm/nghề nghiệp/công việc/nhiệm vụ/nghiệp vụ
7	23	621.34	学生	學生	xuéshēng	học sinh	đệ tử/học sinh/học trò/con trai
8	24	601.9	所以	所以	suǒyǐ	sở dĩ	cho nên/sở dĩ/đó là lí do mà/nguyên cớ/vì sao/nguyên do
9	25	597.97	第一	第一	dìyī	đệ nhất	thứ nhất/đệ nhất/đầu tiên/hạng nhất/bậc nhất/quan trọng nhất
10	26	589.67	一些	一些	yīxiē	nhất ta	một ít/chút/một số/một phần/mấy/hơi/một chút/nhất ta
11	31	568.4	生活	生活	shēnghuó	sinh hoạt	cuộc sống/sinh hoạt/đời sống/sinh tồn/tồn tại/mức sống/việc/công việc
12	32	566.18	不能	不能	bùnéng	bất năng	không thể/bất năng/không nổi/bất lực/không hiệu lực/không có khả năng/bất tài/không được phép/không đủ sức
13	33	565.46	孩子	孩子	háizǐ	hài tử	đứa nhỏ/hài tử/nhi đồng/trẻ em/trẻ con/con nít/em bé/con cái/con
14	36	523.07	大家	大家	dàjiā	đại gia	mọi người/đại gia/chuyên gia/người nổi tiếng/bậc thầy/họ lớn/thế gia vọng tộc
15	37	517.6	可能	可能	kěnéng	khả năng	có thể/khả năng/khả thi/thực hiện được/làm được/có lẽ/hoặc giả/chắc là
16	47	470.89	东西	東西	dōngxī	đông tây	đồ vật này nọ/đông tây/phía đông và phía tây/từ đông sang tây/đồ/vật/thứ/đồ đạc/đồ vật đồ
17	48	467.23	北京	北京	běijīng	bắc kinh	Bắc Kinh/Beijing
18	52	439.7	地方	地方	dìfāng	địa phương	địa phương/chỗ/bản xứ/bản địa/nơi ấy/chốn ấy/nơi/vùng/miền bộ phận/phần
19	54	435.13	非常	非常	fēicháng	phi thường	phi thường/đặc biệt/bất thường/không bình thường/rất/vô cùng/cực kỳ/hết sức
20	55	434.38	发现	發現	fāxiàn	phát hiện	phát hiện/tìm ra/tìm tòi/phát giác/cảm thấy
21	56	428.48	不过	不過	bùguò	bất quá	bất quá/cực kỳ/hết mức/nhất trên đời/hơn hết/vừa mới/vừa/chỉ/chẳng qua/chỉ vì/chỉ có/nhưng/nhưng mà/có điều là/song/chỉ có điều
22	57	427.06	今天	今天	jīntiān	kim thiên	hôm nay/ngày hôm nay/hiện tại/trước mắt/kim thiên
23	60	417.63	世界	世界	shìjiè	thế giới	thế giới/vũ trụ/trái đất/thời buổi
24	62	410.19	一定	一定	yīdìng	nhất định	nhất định/chính xác/quy định/tất nhiên/cần phải/chắc chắn/riêng
25	64	405.86	进行	進行	jìnxíng	tiến hành	tiến hành/làm/tiến lên/tiến tới/tiến lên phía trước
26	69	391.68	朋友	朋友	péngyǒu	bằng hữu	bằng hữu/bạn bè/bạn/người yêu
27	70	389.11	国家	國家	guójiā	quốc gia	quốc gia/nhà nước/đất nước/lãnh thổ
28	72	387.14	所有	所有	suǒyǒu	sở hữu	tất cả/sở hữu/vật sở hữu/hết thảy/toàn bộ
29	73	382.93	个人	個人	gèrén	cá nhân	cá nhân/người/riêng tôi/cá nhân tôi
30	74	377.52	发展	發展	fāzhǎn	phát triển	phát triển/mở rộng/khuếch trương
31	75	374.82	最后	最後	zùihòu	tối hậu	cuối cùng/tối hậu/sau cùng
32	79	365.5	电话	電話	diànhuà	điện thoại	điện thoại/máy điện thoại/dây nói
33	81	364.72	老师	老師	lǎoshī	lão sư	lão sư/thầy cô giáo/bậc thầy
34	82	363.35	学习	學習	xuéxí	học tập	học tập/học
35	86	347.8	当时	當時	dāngshí	đương thời	lúc ấy/lúc đó/khi đó/đương thời/lập tức/liền/ngay lúc đó/ngay lúc ấy
36	87	344.15	情况	情況	qíngkuàng	tình huống	tình huống/tình hình
37	89	343.32	社会	社會	shèhùi	xã hội	xã hội/hình thái xã hội
38	91	339.89	希望	希望	xīwàng	hy vọng	hy vọng/mong muốn/ước ao/mong/ý muốn/ước muốn/nguyện vọng/niềm hi vọng/mong ngóng
39	93	331.77	感觉	感覺	gǎnjué	cảm giác	cảm giác/cảm thấy/cho rằng
40	95	331.28	女人	女人	nv̌rén	nữ nhân	nữ nhân/phụ nữ/đàn bà/vợ
41	96	326.67	第二	第二	dìèr	đệ nhị	đệ nhị/thứ hai
42	97	325.21	其实	其實	qíshí	kỳ thật	kỳ thật/kỳ thực/thực ra
43	98	325.1	事情	事情	shìqíng	sự tình	sự tình/chuyện/sự việc
44	104	303.44	过去	過去	guòqù	quá khứ	quá khứ/đi tới/đã qua/trước đây/đi qua/qua/mất/chết/tạ thế
45	106	299.29	教育	教育	jiàoyù	giáo dục	giáo dục/đào tạo/dạy dỗ/dạy bảo/chỉ dẫn/chỉ thị/dạy
46	108	296.8	文化	文化	wénhuà	văn hóa	văn hóa/văn hoá
47	109	293.61	特别	特別	tèbié	đặc biệt	đặc biệt/vô cùng/rất/riêng biệt/chuyên biệt/càng/nhất là
48	111	289.96	当然	當然	dāngrán	đương nhiên	đương nhiên/nên như thế/phải thế/tất nhiên/dĩ nhiên
49	112	289.89	要求	要求	yàoqíu	yêu cầu	yêu cầu/đòi hỏi/hi vọng/nguyện vọng
50	113	286.96	妈妈	媽媽	māmā	mụ mụ	mụ mụ/mẹ/má/me/u/bầm/mẫu thân/mợ
51	115	283.2	不同	不同	bùtóng	bất đồng	bất đồng/khác nhau/khác biệt
52	116	280.62	出现	出現	chūxiàn	xuất hiện	xuất hiện/nảy sinh/ló ra/nổi lên/hiện ra
53	117	279.59	重要	重要	zhòngyào	trọng yếu	trọng yếu/quan trọng
54	118	279.48	通过	通過	tōngguò	thông qua	thông qua/đi qua/qua
55	119	279.16	市场	市場	shìcháng	thị trường	thị trường/chợ
56	120	278.73	日本	日本	rìběn	nhật bổn	Nhật Bổn/Nhật bản
57	122	275.85	男人	男人	nánrén	nam nhân	nam nhân/trượng phu/chồng/đàn ông
58	124	273.66	英语	英語	yīngyǔ	anh ngữ	tiếng Anh/Anh ngữ/Anh văn
59	125	271.66	一切	一切	yīqiē	nhất thiết	hết thảy/tất cả/mọi/mọi thứ/toàn bộ/nhất thiết/hết thẩy
60	126	269.91	活动	活動	huódòng	hoạt động	hoạt động/chuyển động/vận động/theo mục đích/vì mục đích nào đó/hành động có mục đích/lay động/lung lay/không ổn định/đung đưa/lắc lư/linh hoạt/di động/không cố định/sinh hoạt/chạy chọt/đút lót/mua chuộc
61	128	268.61	大学	大學	dàxué	đại học	đại học
62	129	267.09	主要	主要	zhǔyào	chủ yếu	chủ yếu/chính
63	130	266.28	经济	經濟	jīngjì	kinh tế	kinh tế/lợi hại/mức sống/đời sống/tiết kiệm/đỡ tốn kém/hạn chế/trị nước/trị quốc
64	131	265.54	同时	同時	tóngshí	đồng thời	đồng thời/song song/trong khi/cùng lúc/hơn nữa
65	132	265.42	研究	研究	yánjīu	nghiên cứu	nghiên cứu/tìm tòi học hỏi
66	133	264.11	关系	關係	guānxì	quan hệ	quan hệ/liên quan/liên quan đến/quan hệ đến/quan trọng/hệ trọng/nguyên nhân/điều kiện/giấy chứng nhận/liên hệ/quan hệ tới
67	138	257.68	作者	作者	zuòzhě	tác giả	tác giả/tác gia
68	140	255.71	发生	發生	fāshēng	phát sinh	phát sinh/sinh ra/xảy ra/sản sinh/phôi thai/trứng phát triển
69	141	254.63	评论	評論	pínglùn	bình luận	bình luận/nhận xét/bài bình luận
70	143	254.2	企业	企業	qǐyè	xí nghiệp	xí nghiệp
71	144	254.05	方面	方面	fāngmiàn	phương diện	phương diện/mặt/phía
72	145	252.86	电影	電影	diànyǐng	điện ảnh	điện ảnh/phim/chiếu bóng
73	148	248.2	上海	上海	shànghǎi	thượng hải	Thượng Hải/thành phố Thượng Hải
74	149	247.87	城市	城市	chéngshì	thành thị	thành thị/đô thị/thành phố
75	151	244.47	使用	使用	shǐyòng	sử dụng	sử dụng/dùng
76	152	244.28	发表	發表	fābiǎo	phát biểu	phát biểu/tuyên bố/công bố/nói/đăng/đăng tải
77	153	243.38	甚至	甚至	shénzhì	thậm chí	thậm chí/ngay cả/đến nỗi
78	154	241.01	准备	準備	zhǔnbèi	chuẩn bị	chuẩn bị/dự định/định/định bụng
79	159	239.06	先生	先生	xiānshēng	tiên sinh	tiên sinh/thầy/thầy giáo/ngài/chồng/thầy thuốc/ông lang/thầy ký/tài phú/thầy bói
80	162	237.82	结果	結果	jiéguǒ	kết quả	kết quả/ra quả/ra trái/rút cuộc/thành quả/hậu quả/tác động/kết liễu/giết/xử
81	164	234.2	管理	管理	guǎnlǐ	quản lý	quản lý/phụ trách/trông nom/bảo quản và sắp xếp/trông coi
82	165	234.01	突然	突然	tūrán	đột nhiên	đột nhiên/bỗng nhiên/bất thình lình/chợt
83	166	230.59	选择	選擇	xuǎnzé	tuyển trạch	lựa chọn/tuyển trạch/tuyển chọn
84	167	228.87	回复	回復	húifù	hồi phục	hồi phục/trả lời/phúc đáp/hồi âm/phục hồi/khôi phục
85	169	228.33	父亲	父親	fùqīn	phụ thân	phụ thân/bố/cha/ba
86	172	226.59	声音	聲音	shēngyīn	thanh âm	thanh âm/âm thanh/tiếng tăm/tiếng động
87	175	223.22	内容	內容	nèiróng	nội dung	nội dung
88	176	221.99	完全	完全	wánquán	hoàn toàn	hoàn toàn/đầy đủ/trọn vẹn
89	178	220.78	文章	文章	wénzhāng	văn chương	văn vẻ/văn chương/bài văn/bài báo/tác phẩm/ẩn ý/ngụ ý/biện pháp/cách làm
90	179	220.23	人员	人員	rényuán	nhân viên	nhân viên/công chức
91	181	219.81	参加	參加	cānjiā	tham gia	tham gia/gia nhập/tham dự/dự/đề xuất/đưa ra/cho/góp
92	185	216.27	历史	歷史	lìshǐ	lịch sử	lịch sử/trong lịch sử/ghi chép những sự việc đã qua/môn lịch sử/lịch sử học
93	186	215.99	母亲	母親	mǔqīn	mẫu thân	mẫu thân/mẹ/má/me/u
94	194	209.72	继续	繼續	jìxù	kế tục	tiếp tục/kế tục/kéo dài/kế thừa/tiếp nối
95	195	209.43	影响	影響	yǐngxiǎng	ảnh hưởng	ảnh hưởng/bị ảnh hưởng/chịu ảnh hưởng/vô căn cứ/đồn đại
96	196	209.02	服务	服務	fúwù	phục vụ	phục vụ/phụng sự
97	199	208.52	决定	決定	juédìng	quyết định	quyết định/định đoạt/việc quyết định/tác dụng chủ đạo
98	200	208.42	方式	方式	fāngshì	phương thức	phương thức/cách thức/cách/kiểu
99	204	204.64	表示	表示	biǎoshì	biểu thị	tỏ vẻ/biểu thị/bày tỏ/tỏ ý/ngỏ lời/có ý nghĩa/biểu hiện/chứng tỏ/dấu hiệu/tỏ
100	205	203.87	故事	故事	gùshì	cố sự	chuyện xưa/cố sự/lề thói lâu nay/chế độ làm việc cũ/lệ cũ/truyện/câu chuyện/tình tiết/cốt truyện
101	208	201.14	原来	原來	yuánlái	nguyên lai	nguyên lai/ban sơ/lúc đầu/vốn/vốn dĩ/té ra/hoá ra/thì ra
102	210	199.82	国际	國際	guójì	quốc tế	quốc tế
103	212	199.29	无法	無法	wúfǎ	vô pháp	không thể/vô pháp/không cách nào/vô phương/vô kế/không có cách gì/không còn cách nào
104	213	198.21	专业	專業	zhuānyè	chuyên nghiệp	chuyên nghiệp/môn/bộ môn/chuyên ngành
105	217	193.92	有关	有關	yǒuguān	hữu quan	có quan hệ/hữu quan/có liên quan/liên quan đến/đề cập đến
106	218	193.16	儿子	兒子	érzǐ	nhi tử	đứa con/nhi tử/con trai/người con
107	221	192.09	包括	包括	bāokuò	bao quát	chính là/bao quát/bao gồm/gồm/có/gồm có/tính đến/kể cả/chất chứa
108	223	191.54	离开	離開	líkāi	ly khai	rời đi/ly khai/rời khỏi/tách khỏi
109	225	190.2	介绍	介紹	jièshào	giới thiệu	giới thiệu/mở đầu/đưa vào/truyền vào/hiểu rõ/nắm được/rành/quen thuộc/nắm rành
110	226	190.05	认识	認識	rènshì	nhận thức	nhận thức/biết/nhận biết
111	227	189.18	爸爸	爸爸	bàbà	ba ba	ba ba
112	228	189.08	进入	進入	jìnrù	tiến nhập	tiến vào/tiến nhập/vào/bước vào/đi vào
113	232	185.58	精神	精神	jīngshén	tinh thần	tinh thần/nghị lực/sinh lực/tôn chỉ/ý nghĩa chủ yếu/sức sống/hoạt bát/sôi nổi/nhanh nhẹn/linh lợi
114	233	185.29	不好	不好	bùhǎo	bất hảo	không tốt/bất hảo
115	234	185.26	组织	組織	zǔzhī	tổ chức	tổ chức/hệ thống/quan hệ phối hợp/kiểu sợi/hệ/bộ phận
116	235	185.13	音乐	音樂	yīnlè	âm nhạc	âm nhạc
117	236	184.58	能力	能力	nénglì	năng lực	năng lực/khả năng
118	238	183.91	机会	機會	jīhùi	cơ hội	cơ hội/dịp/thời cơ
119	239	183.88	相信	相信	xiāngxìn	tương tín	tin tưởng/tin/tương tín/cùng tin nhau
120	240	183.71	注意	注意	zhùyì	chú ý	chú ý
121	246	179.95	方法	方法	fāngfǎ	phương pháp	phương pháp/cách/cách thức
122	249	178.67	联系	聯繫	liánxì	liên hệ	liên hệ/liên lạc/gắn liền
123	250	178.31	原因	原因	yuányīn	nguyên nhân	nguyên nhân
124	254	177.01	明白	明白	míngbái	minh bạch	hiểu được/minh bạch/hiểu/rõ ràng/dễ hiểu/công khai/nói thẳng/thông minh/hiểu biết/khôn ngoan/biết lẽ phải/biết
125	257	172.67	产品	產品	chǎnpǐn	sản phẩm	sản phẩm
126	258	172.6	真正	真正	zhēnzhèng	chân chính	chân chính/chính thức/thật sự/chính xác/xác thực
127	259	172.51	过程	過程	guòchéng	quá trình	quá trình
128	263	170.06	自然	自然	zìrán	tự nhiên	tự nhiên/thiên nhiên/giới tự nhiên/tự do phát triển/đương nhiên/hiển nhiên
129	264	169.82	经过	經過	jīngguò	kinh qua	trải qua/kinh qua/đi qua/qua/đã được/quá trình/tiến trình/dòng
130	265	168.98	支持	支持	zhīchí	chi trì	duy trì/chi trì/cầm cự/hỗ trợ/ủng hộ/gắng sức/ra sức/chống đỡ/giúp đỡ/chống chỏi
131	267	168.36	政府	政府	zhèngfǔ	chính phủ	chính phủ/chính quyền/nhà nước
132	268	168.22	身体	身體	shēntǐ	thân thể	thân thể/cơ thể
133	269	167.27	环境	環境	huánjìng	hoàn cảnh	hoàn cảnh/môi trường/cảnh vật chung quanh/điều kiện
134	272	165.5	衣服	衣服	yīfú	y phục	quần áo/y phục
135	277	162.97	台湾	臺灣	táiwān	đài loan	Đài Loan/Taiwan
136	279	162.0	人民	人民	rénmín	nhân dân	nhân dân/đồng bào
137	280	161.85	成功	成功	chénggōng	thành công	thành công/thịnh vượng
138	283	160.43	系统	系統	xìtǒng	hệ thống	hệ thống/có hệ thống/có quy củ/có ngăn nắp
139	284	160.41	人家	人家	rénjiā	nhân gia	người ta/nhân gia/nhà/hộ/gia đình/nhà chồng tương lai/gia đình chồng tương lai/người khác
140	288	159.55	直接	直接	zhíjiē	trực tiếp	trực tiếp/thẳng
141	291	159.26	解决	解決	jiějué	giải quyết	giải quyết/dàn xếp/tháo gỡ/thu xếp/tiêu diệt/thủ tiêu
142	294	158.11	根本	根本	gēnběn	căn bản	căn bản/gốc rễ/cội nguồn/hoàn toàn/triệt để/chủ yếu/trọng yếu/từ trước đến giờ/trước giờ/vốn/xưa nay/trước sau/từ đầu đến cuối/tuyệt nhiên/không hề/tận gốc
143	297	156.76	父母	父母	fùmǔ	phụ mẫu	cha mẹ/phụ mẫu/ba má
144	299	155.36	肯定	肯定	kěndìng	khẳng định	khẳng định/dám chắc/quả quyết/thừa nhận/chấp nhận/đúng/tán thành/nhất định/không nghi ngờ/chắc chắn/xác định/rõ ràng
145	300	155.22	作品	作品	zuòpǐn	tác phẩm	tác phẩm
146	301	154.74	全国	全國	quánguó	toàn quốc	cả nước/toàn quốc/bảo toàn lãnh thổ/toàn vẹn lãnh thổ
147	307	152.56	国内	國內	guónèi	quốc nội	quốc nội/trong nước
148	309	152.14	设计	設計	shèjì	thiết kế	thiết kế/trù tính
149	316	150.64	政治	政治	zhèngzhì	chính trị	chính trị
150	317	150.33	才能	才能	cáinéng	tài năng	mới có thể/tài năng/năng lực/khả năng/tài cán
151	319	149.76	存在	存在	cúnzài	tồn tại	tồn tại/còn/có thật/thực sự/đã sống/vật chất/sự sống/sự tồn tại/sinh kế
152	320	149.13	第三	第三	dìsān	đệ tam	đệ tam/thứ ba
153	324	148.77	根据	根據	gēnjù	căn cứ	căn cứ/căn cứ vào/dựa vào/chứng cứ/luận cứ
154	325	148.54	领导	領導	lǐngdǎo	lĩnh đạo	lãnh đạo/lĩnh đạo/người lãnh đạo
155	326	147.86	女儿	女兒	nv̌ér	nữ nhân	nữ nhân/nữ nhi/con gái
156	327	147.73	左右	左右	zuǒyòu	tả hữu	tả hữu/hai bên/trái và phải/xung quanh/tuỳ tùng/người đi theo/chi phối/thao túng/khoảng/chừng/vào khoảng/trên dưới/dù sao cũng/dù sao đi nữa
157	328	147.52	生命	生命	shēngmìng	sinh mệnh	sinh mệnh/tính mệnh/mạng sống
158	330	147.15	代表	代表	dàibiǎo	đại biểu	đại biểu/đại diện/tiêu biểu/thay mặt
159	331	146.68	价格	價格	jiàgé	giới cách	giá cả/giới cách/giá
160	334	144.69	帮助	幫助	bāngzhù	bang trợ	trợ giúp/bang trợ/giúp đỡ/giúp/cứu giúp/viện trợ
161	335	144.08	高兴	高興	gāoxīng	cao hứng	cao hứng/vui vẻ/vui mừng/phấn chấn/thích
162	336	143.89	永远	永遠	yǒngyuǎn	vĩnh viễn	vĩnh viễn/mãi mãi/luôn
