index	chinese_rank	frequency	word	traditional	pinyin	matched	meaning
2	8	1106.78	中国	中國	zhōngguó	trung quốc	Trung Quốc/Trung Hoa Trung Quốc/China/nước cộng hoà nhân dân Trung Hoa
13	48	467.23	北京	北京	běijīng	bắc kinh	Bắc Kinh/Beijing
49	120	278.73	日本	日本	rìběn	nhật bản	Nhật Bổn/Nhật bản
50	124	273.66	英语	英語	yīngyǔ	anh ngữ	tiếng Anh/Anh ngữ/Anh văn
65	148	248.2	上海	上海	shànghǎi	thượng hải	Thượng Hải/thành phố Thượng Hải
119	277	162.97	台湾	臺灣	táiwān	đài loan	Đài Loan/Taiwan
165	377	130.73	英国	英國	yīngguó	anh quốc	Anh quốc/Anh/Anh Cát Lợi/Anh Quốc/United Kingdom
180	425	118.89	德国	德國	déguó	đức quốc	Đức/Đức quốc/Nhật Nhĩ Man/Cộng hoà liên bang Đức/Germany
228	533	101.25	大陆	大陸	dàlù	đại lục	đại lục/lục địa/Trung quốc
310	715	80.12	广州	廣州	guǎngzhōu	quảng châu	Quảng Châu
374	850	67.86	西方	西方	xīfāng	tây phương	phương Tây/phương tây/phía tây/Tây Phương
499	1134	52.5	南京	南京	nánjīng	nam kinh	Nam Kinh
513	1167	51.46	和平	和平	hépíng	hòa bình	hòa bình/BÌNH/hoà bình/ôn hoà/lành/nhã nhặn/êm dịu/bình tĩnh/trấn tĩnh/yên tĩnh/bình thản/Hoà Bình/tỉnh Hoà Bình
548	1250	48.21	上帝	上帝	shàngdì	thượng đế	thượng đế/Thượng Đế/đấng sáng tạo/ông trời/đấng toàn năng/chúa trời
576	1311	46.25	广东	廣東	guǎngdōng	quảng đông	Quảng Đông
591	1357	44.76	亚洲	亞洲	yàzhōu	á châu	Á Châu/Châu/Châu Á
605	1413	43.1	巴黎	巴黎	bālí	ba lê	Pa-ri/Paris/Ba-lê/Ba Lê
626	1479	41.63	朝鲜	朝鮮	zhāoxiān	triều tiên	Triều Tiên/Cao Ly
627	1480	41.61	长城	長城	chángchéng	trường thành	Trường Thành/Vạn Lý Trường Thành/bức tường thành/lực lượng hùng hậu vững mạnh
631	1494	41.33	印度	印度	yìndù	ấn độ	Ấn Độ/India
640	1519	40.67	重庆	重慶	zhòngqìng	trùng khánh	Trùng Khánh
648	1535	40.23	成都	成都	chéngdū	thành đô	thành đô/Thành Đô
679	1627	37.45	寂寞	寂寞	jìmò	tịch mịch	tịch mịch/cô đơn lạnh lẽo/cô quạnh/vắng lặng/trống vắng/yên tĩnh/hiu quạnh/Tịch mịch/yên lặng
687	1648	36.98	四川	四川	sìchuān	tứ xuyên	Tứ Xuyên/Tứ-xuyên/thường gọi tắt là tỉnh
692	1658	36.84	西班牙	西班牙	xībānyá	tây ban nha	Tây Ban Nha/Spain/Y Pha Nho
698	1674	36.53	杭州	杭州	hángzhōu	hàng châu	Hàng Châu
732	1750	34.86	山东	山東	shāndōng	sơn đông	Sơn Đông
737	1767	34.44	西藏	西藏	xīcáng	tây tạng	Tây Tạng/khu tự trị Tây Tạng
772	1889	32.11	中华	中華	zhōnghuá	trung hoa	Trung Hoa
796	1967	30.62	伦敦	倫敦	lúndūn	luân đôn	Luân Đôn/London
832	2081	28.8	武汉	武漢	wǔhàn	vũ hán	Vũ Hán
869	2211	26.83	云南	雲南	yúnnán	vân nam	Vân Nam/tỉnh Vân Nam
940	2420	24.29	河南	河南	hénán	hà nam	Hà Nam/NAM/tỉnh Hà Nam
961	2480	23.71	东京	東京	dōngjīng	đông kinh	Tô-ki-ô/Đông Kinh/Tokyo
1020	2651	21.7	江南	江南	jiāngnán	giang nam	Giang Nam/phía nam sông Trường Giang
1023	2661	21.62	越南	越南	yuènán	việt nam	Việt Nam/Việt/Vietnam
1039	2701	21.3	瑞士	瑞士	rùishì	thụy sĩ	Thụy Sĩ/Thuỵ Sĩ/Switzerland
1055	2794	20.44	非洲	非洲	fēizhōu	phi châu	Phi Châu/Châu Phi
1088	2882	19.76	苏州	蘇州	sūzhōu	tô châu	Tô Châu
1090	2887	19.74	佛教	佛教	fójiào	phật giáo	phật giáo/Phật giáo/vậy
1114	2956	19.27	荷兰	荷蘭	hélán	hà lan	Hà Lan/Hoà Lan/Netherlands
